wav	int
903.32	1.1272599178111284
903.34	1.12723021527758
903.36	1.1272005134462424
903.38	1.1271708123171067
903.4	1.1271411118901613
903.42	1.1271114121653978
903.44	1.1270817131428061
903.46	1.1270520148223755
903.48	1.1270223172040972
903.5	1.1269926202879605
903.52	1.1269629240739554
903.54	1.1269332285620728
903.56	1.1269035337523026
903.58	1.1268738396446343
903.6	1.1268441462390586
903.62	1.1268144535355649
903.64	1.1267847615341442
903.66	1.1267550702347864
903.68	1.126725379637481
903.7	1.1266956897422187
903.72	1.12666600054899
903.74	1.1266363120577838
903.76	1.1266066242685915
903.78	1.126576937181402
903.8	1.1265472507962062
903.82	1.1265175651129944
903.84	1.1264878801317557
903.86	1.1264581958524813
903.88	1.126428512275161
903.9	1.1263988293997842
903.92	1.1263691472263417
903.94	1.1263394657548236
903.96	1.12630978498522
903.98	1.126280104917521
904.0	1.1262504255517165
904.02	1.1262207468877965
904.04	1.1261910689257515
904.06	1.1261613916655715
904.08	1.1261317151072463
904.1	1.1261020392507668
904.12	1.126072364096122
904.14	1.126042689643303
904.16	1.1260130158922999
904.18	1.1259833428431014
904.2	1.1259536704956992
904.22	1.1259239988500829
904.24	1.1258943279062423
904.26	1.1258646576641678
904.28	1.1258349881238499
904.3	1.1258053192852777
904.32	1.1257756511484422
904.34	1.1257459837133328
904.36	1.1257163169799405
904.38	1.1256866509482548
904.4	1.1256569856182657
904.42	1.1256273209899639
904.44	1.125597657063339
904.46	1.1255679938383811
904.48	1.1255383313150813
904.5	1.125508669493428
904.52	1.125479008373412
904.54	1.1254493479550243
904.56	1.1254196882382537
904.58	1.1253900292230916
904.6	1.125360370909527
904.62	1.1253307132975507
904.64	1.1253010563871524
904.66	1.1252714001783228
904.68	1.125241744671051
904.7	1.1252120898653282
904.72	1.1251824357611435
904.74	1.1251527823584875
904.76	1.125123129657351
904.78	1.1250934776577226
904.8	1.1250638263595936
904.82	1.125034175762954
904.84	1.1250045258677934
904.86	1.1249748766741026
904.88	1.1249452281818713
904.9	1.124915580391089
904.92	1.124885933301747
904.94	1.124856286913834
904.96	1.1248266412273416
904.98	1.1247969962422593
905.0	1.1247673519585768
905.02	1.124737708376285
905.04	1.1247080654953734
905.06	1.1246784233158322
905.08	1.1246487818376514
905.1	1.1246191410608217
905.12	1.1245895009853328
905.14	1.124559861611175
905.16	1.1245302229383376
905.18	1.1245005849668115
905.2	1.1244709476965873
905.22	1.1244413111276539
905.24	1.1244116752600022
905.26	1.1243820400936222
905.28	1.1243524056285037
905.3	1.1243227718646371
905.32	1.1242931388020123
905.34	1.1242635064406197
905.36	1.1242338747804494
905.38	1.124204243821491
905.4	1.124174613563735
905.42	1.1241449840071718
905.44	1.1241153551517913
905.46	1.1240857269975832
905.48	1.1240560995445381
905.5	1.1240264727926457
905.52	1.1239968467418966
905.54	1.1239672213922807
905.56	1.1239375967437877
905.58	1.1239079727964085
905.6	1.1238783495501323
905.62	1.12384872700495
905.64	1.1238191051608515
905.66	1.1237894840178264
905.68	1.1237598635758657
905.7	1.1237302438349588
905.72	1.1237006247950965
905.74	1.1236710064562678
905.76	1.1236413888184638
905.78	1.123611771881674
905.8	1.1235821556458891
905.82	1.1235525401110986
905.84	1.1235229252772936
905.86	1.123493311144463
905.88	1.1234636977125976
905.9	1.123434084981687
905.92	1.1234044729517219
905.94	1.1233748616226922
905.96	1.1233452509945883
905.98	1.1233156410673995
906.0	1.1232860318411164
906.02	1.1232564233157296
906.04	1.1232268154912282
906.06	1.123197208367603
906.08	1.1231676019448442
906.1	1.1231379962229413
906.12	1.1231083912018849
906.14	1.1230787868816652
906.16	1.1230491832622715
906.18	1.123019580343695
906.2	1.1229899781259256
906.22	1.1229603766089526
906.24	1.1229307757927667
906.26	1.122901175677358
906.28	1.1228715762627164
906.3	1.1228419775488323
906.32	1.1228123795356955
906.34	1.122782782223297
906.36	1.1227531856116257
906.38	1.122723589700672
906.4	1.1226939944904266
906.42	1.122664399980879
906.44	1.1226348061720193
906.46	1.1226052130638384
906.48	1.1225756206563253
906.5	1.122546028949471
906.52	1.1225164379432657
906.54	1.1224868476376983
906.56	1.1224572580327603
906.58	1.1224276691284412
906.6	1.1223980809247307
906.62	1.1223684934216196
906.64	1.1223389066190979
906.66	1.122309320517155
906.68	1.122279735115782
