col1,col2
0.9021,0.992514
0.90212,0.99656
0.90214,0.997525
0.90216,0.997908
0.90218,0.998145
0.9022,0.998272
0.90222,0.998096
0.90224,0.996541
0.90226,0.993315
0.90228,0.993787
0.9023,0.996926
0.90232,0.997786
0.90234,0.996725
0.90236,0.995735
0.90238,0.995942
0.9024,0.994813
0.90242,0.990896
0.90244,0.984765
0.90246,0.967559
0.90248,0.883252
0.9025,0.697697
0.90252,0.679818
0.90254,0.86427
0.90256,0.963829
0.90258,0.986413
0.9026,0.992047
0.90262,0.99427
0.90264,0.995261
0.90266,0.995358
0.90268,0.993538
0.9027,0.98955
0.90272,0.988002
0.90274,0.986157
0.90276,0.974401
0.90278,0.956597
0.9028,0.899263
0.90282,0.707727
0.90284,0.57128
0.90286,0.748126
0.90288,0.924108
0.9029,0.976241
0.90292,0.987722
0.90294,0.990827
0.90296,0.993315
0.90298,0.995905
0.903,0.997298
0.90302,0.997941
0.90304,0.998323
0.90306,0.998424
0.90308,0.997753
0.9031,0.996357
0.90312,0.996222
0.90314,0.994566
0.90316,0.97919
0.90318,0.950905
0.9032,0.958806
0.90322,0.986448
0.90324,0.995287
0.90326,0.993846
0.90328,0.991205
0.9033,0.993515
0.90332,0.994583
0.90334,0.98528
0.90336,0.936822
0.90338,0.847835
0.9034,0.865606
0.90342,0.953057
0.90344,0.986901
0.90346,0.991155
0.90348,0.993475
0.9035,0.997245
0.90352,0.998823
0.90354,0.999209
0.90356,0.999324
0.90358,0.999416
0.9036,0.999518
0.90362,0.99944
0.90364,0.999567
0.90366,0.999794
0.90368,0.999486
0.9037,0.997165
0.90372,0.987797
0.90374,0.980076
0.90376,0.989461
0.90378,0.997686
0.9038,0.999516
0.90382,0.999824
0.90384,0.999824
0.90386,0.999917
0.90388,0.999989
0.9039,1.0
0.90392,1.0
0.90394,1.0
0.90396,1.0
0.90398,1.0
0.904,1.0
0.90402,0.999989
0.90404,0.999895
0.90406,0.999708
0.90408,0.999525
0.9041,0.99906
0.90412,0.998891
0.90414,0.999192
0.90416,0.998899
0.90418,0.997922
0.9042,0.99704
0.90422,0.987607
0.90424,0.947594
0.90426,0.924664
0.90428,0.967096
0.9043,0.99416
0.90432,0.99714
0.90434,0.990641
0.90436,0.983431
0.90438,0.989893
0.9044,0.996003
0.90442,0.995791
0.90444,0.989179
0.90446,0.968568
0.90448,0.954915
0.9045,0.939397
0.90452,0.876921
0.90454,0.881953
0.90456,0.955575
0.90458,0.987929
0.9046,0.99456
0.90462,0.99747
0.90464,0.998727
0.90466,0.999156
0.90468,0.999375
0.9047,0.999527
0.90472,0.999693
0.90474,0.999886
0.90476,0.999984
0.90478,0.999999
0.9048,1.0
0.90482,1.0
0.90484,1.0
0.90486,1.0
0.90488,0.999998
0.9049,0.99996
0.90492,0.99966
0.90494,0.997922
0.90496,0.987512
0.90498,0.963748
0.905,0.965825
0.90502,0.989366
0.90504,0.998147
0.90506,0.998233
0.90508,0.99172
0.9051,0.983528
0.90512,0.989649
0.90514,0.997422
0.90516,0.998549
0.90518,0.998824
0.9052,0.999688
0.90522,0.999946
0.90524,0.999929
0.90526,0.999943
0.90528,0.999815
0.9053,0.999045
0.90532,0.994781
0.90534,0.979328
0.90536,0.968564
0.90538,0.983673
0.9054,0.99562
0.90542,0.997934
0.90544,0.997795
0.90546,0.996527
0.90548,0.992526
0.9055,0.975657
0.90552,0.906288
0.90554,0.799798
0.90556,0.840626
0.90558,0.949096
0.9056,0.987871
0.90562,0.995339
0.90564,0.997354
0.90566,0.998213
0.90568,0.998411
0.9057,0.998306
0.90572,0.998709
0.90574,0.999383
0.90576,0.999815
0.90578,0.999967
0.9058,0.999938
0.90582,0.999841
0.90584,0.999762
0.90586,0.999833
0.90588,0.999945
0.9059,0.999798
0.90592,0.999312
0.90594,0.998237
0.90596,0.997119
0.90598,0.998399
0.906,0.999728
0.90602,0.999887
0.90604,0.999179
0.90606,0.997513
0.90608,0.997255
0.9061,0.998736
0.90612,0.999349
0.90614,0.999269
0.90616,0.999019
0.90618,0.998607
0.9062,0.997848
0.90622,0.996127
0.90624,0.989291
0.90626,0.953452
0.90628,0.865028
0.9063,0.848586
0.90632,0.934984
0.90634,0.984006
0.90636,0.99451
0.90638,0.994911
0.9064,0.989142
0.90642,0.975092
0.90644,0.971386
0.90646,0.984253
0.90648,0.982367
0.9065,0.937492
0.90652,0.892641
0.90654,0.937163
0.90656,0.984171
0.90658,0.99464
0.9066,0.990408
0.90662,0.959903
0.90664,0.900206
0.90666,0.901512
0.90668,0.964079
0.9067,0.993257
0.90672,0.998294
0.90674,0.998931
0.90676,0.997732
0.90678,0.993168
0.9068,0.990522
0.90682,0.993568
0.90684,0.9952
0.90686,0.996963
0.90688,0.998109
0.9069,0.998288
0.90692,0.99813
0.90694,0.99776
0.90696,0.99696
0.90698,0.994286
0.907,0.988417
0.90702,0.986483
0.90704,0.989141
0.90706,0.987694
0.90708,0.980789
0.9071,0.961066
0.90712,0.884941
0.90714,0.662176
0.90716,0.465601
0.90718,0.631822
0.9072,0.863682
0.90722,0.952579
0.90724,0.978021
0.90726,0.986467
0.90728,0.989973
0.9073,0.991493
0.90732,0.991706
